id,x,y,r
0,-27.777777777777775,45.12670565302144,11.500974658869396
1,4.775828460038986,1.267056530214425,5.0682261208577
2,-22.319688109161792,29.7270955165692,10.721247563352826
3,-32.65107212475633,-34.21052631578947,2.729044834307992
4,-44.15204678362573,31.48148148148148,4.8732943469785575
5,-3.6062378167641325,44.73684210526316,9.161793372319687
6,-10.428849902534113,-33.62573099415204,5.0682261208577
7,39.473684210526315,-5.360623781676413,2.3391812865497075
8,-18.226120857699804,-34.21052631578947,6.432748538011696
9,5.360623781676413,19.005847953216374,4.8732943469785575
10,17.05653021442495,29.7270955165692,3.313840155945419
11,25.828460038986353,30.70175438596491,6.627680311890838
12,18.61598440545809,-2.631578947368421,2.729044834307992
13,41.61793372319688,25.243664717348928,7.017543859649122
14,-34.40545808966861,-8.47953216374269,10.1364522417154
